result_family,environment,agent,aggregation_level,source_file,source_column,n_episode_rows,n_finite_returns,nonfinite_returns_dropped,n_seeds,final_checkpoint_min,final_checkpoint_max,mean_return,minimum_return,return_quantile_0_05,worst_decile_mean_return,cvar_0_10_return,cvar_0_10_tail_count,cvar_0_05_return,cvar_0_05_tail_count,cvar_0_05_available,cvar_0_05_reason
confirmatory_extended_compact,FourRooms-7-unseen-goals,count_gated_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,8000,8000,-1.60935555556,-2,-2,-2,-2,90,-2,45,True,
confirmatory_extended_compact,FourRooms-7-unseen-goals,fixed_hybrid,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,8000,8000,-1.67681111111,-2,-2,-2,-2,90,-2,45,True,
confirmatory_extended_compact,FourRooms-7-unseen-goals,random,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,8000,8000,-0.507722222222,-1.5,-1.38,-1.38477777778,-1.38477777778,90,-1.40533333333,45,True,
confirmatory_extended_compact,FourRooms-7-unseen-goals,reliability_gated,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,8000,8000,-1.61974444444,-2,-2,-2,-2,90,-2,45,True,
confirmatory_extended_compact,FourRooms-7-unseen-goals,support_abstain_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,8000,8000,-0.509411111111,-1.48,-1.38,-1.38344444444,-1.38344444444,90,-1.40155555556,45,True,
confirmatory_extended_compact,FourRooms-7-unseen-goals,tabular,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,8000,8000,-0.508444444444,-1.45,-1.38,-1.38666666667,-1.38666666667,90,-1.40422222222,45,True,
confirmatory_extended_compact,FourRooms-7-unseen-goals,validated_dqn,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,8000,8000,-1.57733333333,-2,-2,-2,-2,90,-2,45,True,
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,count_gated_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,12000,12000,-2.07556666667,-3.18,-3.0905,-3.09733333333,-3.09733333333,90,-3.11288888889,45,True,
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,fixed_hybrid,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,12000,12000,-2.12696666667,-3.19,-3.09,-3.09666666667,-3.09666666667,90,-3.11222222222,45,True,
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,random,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,12000,12000,-1.08887777778,-2.19,-2.07,-2.083,-2.083,90,-2.10844444444,45,True,
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,reliability_gated,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,12000,12000,-2.15166666667,-3.18,-3.09,-3.09466666667,-3.09466666667,90,-3.10977777778,45,True,
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,support_abstain_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,12000,12000,-0.9865,-2.21,-2.07,-2.08166666667,-2.08166666667,90,-2.10888888889,45,True,
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,tabular,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,12000,12000,-1.05141111111,-2.2,-2.07,-2.08033333333,-2.08033333333,90,-2.108,45,True,
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,validated_dqn,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,12000,12000,-2.14476666667,-3.18,-3.09,-3.09233333333,-3.09233333333,90,-3.10844444444,45,True,
confirmatory_extended_compact,FrozenLake-4x4-slippery,count_gated_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,0.631111111111,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-4x4-slippery,fixed_hybrid,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,0.652222222222,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-4x4-slippery,random,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,0.0233333333333,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-4x4-slippery,reliability_gated,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,0.524444444444,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-4x4-slippery,support_abstain_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,0.631111111111,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-4x4-slippery,tabular,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,0.655555555556,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-4x4-slippery,validated_dqn,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,10000,10000,0.343333333333,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-8x8-slippery,count_gated_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,0.126666666667,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-8x8-slippery,fixed_hybrid,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,0.131111111111,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-8x8-slippery,random,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,0.00222222222222,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-8x8-slippery,reliability_gated,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,0.122222222222,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-8x8-slippery,support_abstain_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,0.131111111111,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-8x8-slippery,tabular,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,0.03,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,FrozenLake-8x8-slippery,validated_dqn,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,0.0788888888889,0,0,0,0,90,0,45,True,
confirmatory_extended_compact,Taxi-v3-compatible,count_gated_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,-200,-200,-200,-200,-200,90,-200,45,True,
confirmatory_extended_compact,Taxi-v3-compatible,fixed_hybrid,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,-200,-200,-200,-200,-200,90,-200,45,True,
confirmatory_extended_compact,Taxi-v3-compatible,random,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,-772.276666667,-965,-893,-898.1,-898.1,90,-916,45,True,
confirmatory_extended_compact,Taxi-v3-compatible,reliability_gated,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,-291.4,-2000,-1937.45,-1114,-1114,90,-1989.4,45,True,
confirmatory_extended_compact,Taxi-v3-compatible,support_abstain_tau_20,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,-200,-200,-200,-200,-200,90,-200,45,True,
confirmatory_extended_compact,Taxi-v3-compatible,tabular,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,-218.64,-2000,-200,-386.4,-386.4,90,-572.8,45,True,
confirmatory_extended_compact,Taxi-v3-compatible,validated_dqn,episode,results/confirmatory_extended_compact/raw.csv.gz,return,900,900,0,30,20000,20000,-200,-200,-200,-200,-200,90,-200,45,True,
cost_support_metrics,ApplicationNavigation-cost-support,count_gated_tau_20,episode,results/cost_support_metrics/raw.csv.gz,return,300,300,0,10,12000,12000,-5.1052,-29.77,-28.85,-28.8016666667,-28.8016666667,30,-29.1413333333,15,True,
cost_support_metrics,ApplicationNavigation-cost-support,fuzzy_support_adaptive,episode,results/cost_support_metrics/raw.csv.gz,return,300,300,0,10,12000,12000,-4.0387,-29.54,-28.7075,-28.7353333333,-28.7353333333,30,-29.034,15,True,
cost_support_metrics,ApplicationNavigation-cost-support,support_abstain_tau_20,episode,results/cost_support_metrics/raw.csv.gz,return,300,300,0,10,12000,12000,0.5426,-8.32,-4.0005,-4.57633333333,-4.57633333333,30,-5.64,15,True,
cost_support_metrics,ApplicationNavigation-cost-support,tabular,episode,results/cost_support_metrics/raw.csv.gz,return,300,300,0,10,12000,12000,0.863866666667,-10.97,-8.8535,-9.09866666667,-9.09866666667,30,-9.53466666667,15,True,
cost_support_metrics,ApplicationNavigation-cost-support,validated_dqn,episode,results/cost_support_metrics/raw.csv.gz,return,300,300,0,10,12000,12000,-4.8303,-29.54,-27.7875,-25.0796666667,-25.0796666667,30,-28.7426666667,15,True,
cost_support_metrics,FourRooms-9-cost-support,count_gated_tau_20,episode,results/cost_support_metrics/raw.csv.gz,return,300,300,0,10,12000,12000,-1.9976,-3.15,-3.1,-3.10433333333,-3.10433333333,30,-3.12066666667,15,True,
cost_support_metrics,FourRooms-9-cost-support,fuzzy_support_adaptive,episode,results/cost_support_metrics/raw.csv.gz,return,300,300,0,10,12000,12000,-2.12243333333,-3.14,-3.1,-3.09933333333,-3.09933333333,30,-3.11333333333,15,True,
cost_support_metrics,FourRooms-9-cost-support,support_abstain_tau_20,episode,results/cost_support_metrics/raw.csv.gz,return,300,300,0,10,12000,12000,-1.0653,-2.2,-2.07,-2.077,-2.077,30,-2.104,15,True,
cost_support_metrics,FourRooms-9-cost-support,tabular,episode,results/cost_support_metrics/raw.csv.gz,return,300,300,0,10,12000,12000,-1.05956666667,-2.17,-2.06,-2.06833333333,-2.06833333333,30,-2.09666666667,15,True,
cost_support_metrics,FourRooms-9-cost-support,validated_dqn,episode,results/cost_support_metrics/raw.csv.gz,return,300,300,0,10,12000,12000,-2.0198,-3.15,-3.1,-3.10166666667,-3.10166666667,30,-3.11933333333,15,True,
dqn_strong_validation,CliffWalking-v1,original_selected_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,10000,10000,-500,-500,-500,-500,-500,90,-500,45,True,
dqn_strong_validation,CliffWalking-v1,validated_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,10000,10000,-500,-500,-500,-500,-500,90,-500,45,True,
dqn_strong_validation,FourRooms-11-slip-unseen-goals,original_selected_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,16000,16000,-3.28382222222,-4.32,-4.24,-4.24422222222,-4.24422222222,90,-4.26488888889,45,True,
dqn_strong_validation,FourRooms-11-slip-unseen-goals,validated_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,16000,16000,-3.02742222222,-4.31,-4.24,-4.24688888889,-4.24688888889,90,-4.27,45,True,
dqn_strong_validation,FourRooms-7-unseen-goals,original_selected_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,8000,8000,-1.63075555556,-2,-2,-2,-2,90,-2,45,True,
dqn_strong_validation,FourRooms-7-unseen-goals,validated_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,8000,8000,-1.64515555556,-2,-2,-2,-2,90,-2,45,True,
dqn_strong_validation,FourRooms-9-slip-unseen-goals,original_selected_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,12000,12000,-2.21803333333,-3.15,-3.09,-3.09944444444,-3.09944444444,90,-3.114,45,True,
dqn_strong_validation,FourRooms-9-slip-unseen-goals,validated_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,12000,12000,-2.14613333333,-3.15,-3.1,-3.10477777778,-3.10477777778,90,-3.118,45,True,
dqn_strong_validation,FrozenLake-4x4-slippery,original_selected_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,10000,10000,0.193333333333,0,0,0,0,90,0,45,True,
dqn_strong_validation,FrozenLake-4x4-slippery,validated_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,10000,10000,0.358888888889,0,0,0,0,90,0,45,True,
dqn_strong_validation,FrozenLake-8x8-slippery,original_selected_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,20000,20000,0.00888888888889,0,0,0,0,90,0,45,True,
dqn_strong_validation,FrozenLake-8x8-slippery,validated_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,20000,20000,0.0355555555556,0,0,0,0,90,0,45,True,
dqn_strong_validation,MiniGrid-Empty-5x5-validation,original_selected_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,300,300,0,10,20000,20000,0,0,0,0,0,30,0,15,True,
dqn_strong_validation,MiniGrid-Empty-5x5-validation,validated_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,300,300,0,10,20000,20000,0,0,0,0,0,30,0,15,True,
dqn_strong_validation,Taxi-v3-compatible,original_selected_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,20000,20000,-200,-200,-200,-200,-200,90,-200,45,True,
dqn_strong_validation,Taxi-v3-compatible,validated_dqn,episode,results/dqn_strong_validation/raw.csv.gz,return,900,900,0,30,20000,20000,-200,-200,-200,-200,-200,90,-200,45,True,
dqn_tuning_development,CliffWalking-v1,double_dqn_lr3e4_h128,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,10000,10000,-500,-500,-500,-500,-500,10,-500,5,True,
dqn_tuning_development,CliffWalking-v1,vanilla_dqn_buffer100k,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,10000,10000,-500,-500,-500,-500,-500,10,-500,5,True,
dqn_tuning_development,CliffWalking-v1,vanilla_dqn_h128,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,10000,10000,-500,-500,-500,-500,-500,10,-500,5,True,
dqn_tuning_development,CliffWalking-v1,vanilla_dqn_h64,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,10000,10000,-500,-500,-500,-500,-500,10,-500,5,True,
dqn_tuning_development,CliffWalking-v1,vanilla_dqn_lr3e4_h128,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,10000,10000,-500,-500,-500,-500,-500,10,-500,5,True,
dqn_tuning_development,CliffWalking-v1,vanilla_dqn_target1000,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,10000,10000,-500,-500,-500,-500,-500,10,-500,5,True,
dqn_tuning_development,CliffWalking-v1,vanilla_dqn_target250,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,10000,10000,-500,-500,-500,-500,-500,10,-500,5,True,
dqn_tuning_development,FourRooms-11-slip-unseen-goals,double_dqn_lr3e4_h128,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,16000,16000,-2.9056,-4.3,-4.2305,-4.239,-4.239,10,-4.268,5,True,
dqn_tuning_development,FourRooms-11-slip-unseen-goals,vanilla_dqn_buffer100k,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,16000,16000,-3.4595,-4.29,-4.2705,-4.269,-4.269,10,-4.282,5,True,
dqn_tuning_development,FourRooms-11-slip-unseen-goals,vanilla_dqn_h128,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,16000,16000,-3.3241,-4.29,-4.251,-4.26,-4.26,10,-4.282,5,True,
dqn_tuning_development,FourRooms-11-slip-unseen-goals,vanilla_dqn_h64,episode,results/dqn_tuning_development/raw.csv.gz,return,100,100,0,5,16000,16000,-3.1309,-4.29,-4.25,-4.256,-4.256,10,-4.274,5,True,
