result_family,environment,agent,checkpoint,aggregation_level,source_file,source_column,n_seeds,n_finite_returns,nonfinite_returns_dropped,mean_return,minimum_return,return_quantile_0_05,worst_decile_mean_return,cvar_0_10_return,cvar_0_10_tail_count,cvar_0_05_return,cvar_0_05_tail_count,cvar_0_05_available,cvar_0_05_reason
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,count_gated_tau_20,12000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-4.54175555556,-12.7736666667,-11.07825,-11.6417777778,-11.6417777778,3,-11.9368333333,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fixed_hybrid,2000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-4.31123333333,-15.0473333333,-10.3564166667,-11.8772222222,-11.8772222222,3,-12.991,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fixed_hybrid,4000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-3.21158888889,-10.348,-7.03883333333,-8.12066666667,-8.12066666667,3,-8.83666666667,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fixed_hybrid,6000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-3.73622222222,-11.7126666667,-8.85851666667,-9.757,-9.757,3,-10.6426666667,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fixed_hybrid,8000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-3.26262222222,-9.893,-8.55915,-8.93555555556,-8.93555555556,3,-9.6865,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fixed_hybrid,10000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-4.00242222222,-12.503,-9.61566666667,-10.5267777778,-10.5267777778,3,-11.4058333333,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fixed_hybrid,12000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-4.99525555556,-12.256,-10.6864666667,-11.2017777778,-11.2017777778,3,-11.5243333333,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,2000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-4.46646666667,-15.7216666667,-8.71161666667,-11.0284444444,-11.0284444444,3,-12.3506666667,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,4000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-2.85341111111,-9.17633333333,-5.75485,-6.86755555556,-6.86755555556,3,-7.65316666667,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,6000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-2.10537777778,-6.051,-4.6089,-5.08588888889,-5.08588888889,3,-5.355,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,8000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-3.62895555556,-10.079,-7.87453333333,-8.56277777778,-8.56277777778,3,-9.29116666667,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,10000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-3.41353333333,-13.8156666667,-8.6997,-10.375,-10.375,3,-11.4603333333,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,12000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-5.54234444444,-12.775,-11.1112166667,-11.622,-11.622,3,-12.2388333333,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,2000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-2.95893333333,-5.27466666667,-4.9849,-5.07044444444,-5.07044444444,3,-5.20433333333,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,4000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-2.0167,-3.64966666667,-3.09965,-3.25177777778,-3.25177777778,3,-3.58533333333,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,6000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-1.22482222222,-2.74966666667,-2.44296666667,-2.53433333333,-2.53433333333,3,-2.66966666667,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,8000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,-0.649055555556,-3.123,-1.55361666667,-2.07466666667,-2.07466666667,3,-2.35233333333,2,True,
application_navigation_case_study,ApplicationNavigation-deployment-goal-shift,support_abstain_tau_20,10000,seed_at_checkpoint,results/application_navigation_case_study/raw.csv.gz,return,30,30,0,0.348566666667,-1.98833333333,-1.6076,-1.73411111111,-1.73411111111,3,-1.80066666667,2,True,
