result_family,environment,agent,aggregation_level,source_file,source_column,n_seed_rows,n_finite_returns,nonfinite_returns_dropped,mean_return,minimum_return,return_quantile_0_05,worst_decile_mean_return,cvar_0_10_return,cvar_0_10_tail_count,cvar_0_05_return,cvar_0_05_tail_count,cvar_0_05_available,cvar_0_05_reason,failure_probability,failure_probability_n,failure_probability_reason,collision_rate,collision_rate_n,collision_rate_reason,risk_zone_rate,risk_zone_rate_n,risk_zone_rate_reason,motor_saturation_rate,motor_saturation_rate_n,motor_saturation_rate_reason
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,fixed_hybrid,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-2.12696666667,-2.62866666667,-2.53318333333,-2.563,-2.563,3,-2.5945,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,random,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-1.08887777778,-1.565,-1.48048333333,-1.50844444444,-1.50844444444,3,-1.52416666667,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,reliability_gated,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-2.15166666667,-2.73333333333,-2.5057,-2.58044444444,-2.58044444444,3,-2.62716666667,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,support_abstain_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-0.9865,-1.522,-1.20365,-1.309,-1.309,3,-1.368,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,tabular,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-1.05141111111,-1.38566666667,-1.34158333333,-1.35622222222,-1.35622222222,3,-1.364,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FourRooms-9-slip-unseen-goals,validated_dqn,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,-2.14476666667,-2.88766666667,-2.78095,-2.81244444444,-2.81244444444,3,-2.86183333333,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-4x4-slippery,count_gated_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.631111111111,0.266666666667,0.345,0.322222222222,0.322222222222,3,0.283333333333,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-4x4-slippery,fixed_hybrid,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.652222222222,0.4,0.466666666667,0.444444444444,0.444444444444,3,0.433333333333,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-4x4-slippery,random,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.0233333333333,0,0,0,0,3,0,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-4x4-slippery,reliability_gated,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.524444444444,0,0.105,0.0777777777778,0.0777777777778,3,0,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-4x4-slippery,support_abstain_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.631111111111,0.266666666667,0.345,0.322222222222,0.322222222222,3,0.283333333333,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-4x4-slippery,tabular,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.655555555556,0.466666666667,0.533333333333,0.511111111111,0.511111111111,3,0.5,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-4x4-slippery,validated_dqn,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.343333333333,0,0,0,0,3,0,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-8x8-slippery,count_gated_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.126666666667,0,0,0,0,3,0,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-8x8-slippery,fixed_hybrid,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.131111111111,0,0,0,0,3,0,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-8x8-slippery,random,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.00222222222222,0,0,0,0,3,0,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-8x8-slippery,reliability_gated,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.122222222222,0,0,0,0,3,0,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-8x8-slippery,support_abstain_tau_20,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.131111111111,0,0,0,0,3,0,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
confirmatory_extended_compact,FrozenLake-8x8-slippery,tabular,seed,results/confirmatory_extended_compact/seed_metrics.csv,mean_return,30,30,0,0.03,0,0,0,0,3,0,2,True,,,0,source column failure_rate has no finite observations,,0,source column collision_rate has no finite observations,,0,source column risk_zone_rate has no finite observations,,0,source column motor_saturation_rate is absent
