environment,candidate_id,estimator_family,estimator_type,representation,slot_id,k,h,tau_approx,regularization,requested_index,effective_index,seed,return_auc,failure_probability,median_query_latency_seconds,checkpoint_first,checkpoint_last,checkpoint_count,evaluation_episodes_per_checkpoint,source_row_count,execution_source_commit,source_snapshot_sha256,source_file
ApplicationNavigation-support-estimator-development,gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,13000,-6.248266666666667,0.91875,0.00116245,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,13001,-5.9559333333333315,0.9625,0.0011589,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,13002,-4.4964,0.98125,0.0010547500000000001,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,13003,-6.7126666666666654,0.93125,0.00109955,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,13004,-5.838233333333331,0.8875,0.00114365,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,13000,-2.103500000000001,0.79375,0.0023440500000000003,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,13001,-2.2181666666666673,0.79375,0.0020102,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,13002,-2.318300000000001,0.84375,0.0019911499999999997,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,13003,-2.1514666666666673,0.8,0.0020126,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,gaussian_density_s1,gaussian_density,regularized_gaussian_density,raw_state,s1,3,0.25,1.0,0.0001,brute_force,brute_force_density_preserving,13004,-1.9796000000000005,0.725,0.0020489,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
