family,agent,seed,checkpoint,episode,sample_count,post_onset_sample_count,perturbation_onset_timestamp,trajectory_deviation_rmse_m,maximum_trajectory_deviation_m,recovered,recovery_time_seconds,censor_time_seconds,saturation_duration_seconds,constraint_violation_duration_seconds,near_miss_duration_seconds,saturation_sample_count,constraint_violation_sample_count,near_miss_sample_count,recovery_band_m,required_dwell_steps,non_recovery_rule,source_file
combined_executed_condition_safety_trace,feed_forward_dqn,16035,120,2,30,25,0.1,0.5283992334443848,0.7920407205855315,False,,0.4,0.0,0.1499999999999994,0.0,0,9,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16035.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16035,120,3,30,25,0.1,0.5256384670561447,0.8056589915008531,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16035.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16035,120,4,30,25,0.1,0.5344400190969687,0.82669904806197,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16035.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16035,240,1,30,25,0.1,0.566836516407981,0.9023090653524981,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16035.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16035,240,2,30,25,0.1,0.5616776776537601,0.8808495986737763,False,,0.4,0.0,0.499999999999998,0.0666666666666664,0,30,4,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16035.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16035,240,3,30,25,0.1,0.5418379868701844,0.8246450092429012,False,,0.4,0.0,0.1833333333333326,0.0,0,11,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16035.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16035,240,4,30,25,0.1,0.5135854237294462,0.7899426526528879,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16035.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16036,120,1,30,25,0.1,0.5506083969733724,0.8722055451548741,False,,0.4,0.0,0.31666666666666543,0.0,0,19,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16036.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16036,120,2,30,25,0.1,0.5789425795345333,0.9102645257451626,False,,0.4,0.0,0.499999999999998,0.0,0,30,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16036.trace.csv.gz
combined_executed_condition_safety_trace,feed_forward_dqn,16036,120,3,30,25,0.1,0.5429330230480306,0.8252507651124084,False,,0.4,0.0,0.3666666666666652,0.0,0,22,0,0.15,6,right_censored_at_last_observed_post_onset_timestamp,results/reviewer1_remaining/safety_traces/trace_shards/combined_executed_condition_safety_trace__feed_forward_dqn__seed_16036.trace.csv.gz
