environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
FourRooms-7-unseen-goals,mean_return,count_gated_tau_100,count_gated_tau_20,5,-0.12480000000000006,-0.14350000000000018,-0.1645,-0.07660000000000004,-2.243211521966275,-1.0,0.007406365910563564,0.0625,0.0625,0,5,0,0.0,0.11109548865845345,0.9375,0.9375
FourRooms-7-unseen-goals,mean_return,count_gated_tau_100,count_gated_tau_5,5,0.001499999999999968,0.05800000000000005,-0.23130000000000012,0.16807749999999885,0.00580659239879599,0.3333333333333333,0.990262390504058,0.625,0.375,4,1,0,0.8,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_100,count_gated_tau_50,5,-0.1341000000000001,0.05249999999999977,-0.3903000000000002,0.07509999999999994,-0.4479799703125551,-0.2,0.3731658767247557,0.8125,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_20,count_gated_tau_5,5,0.12630000000000002,0.24150000000000027,-0.10979999999999994,0.2661000000000001,0.47567643955582206,0.3333333333333333,0.3474383105707588,0.625,0.375,4,1,0,0.8,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_20,count_gated_tau_50,5,-0.009300000000000041,0.14949999999999997,-0.27480000000000004,0.20910000000000006,-0.02984789464091881,0.06666666666666667,0.949989957949127,1.0,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-7-unseen-goals,mean_return,count_gated_tau_5,count_gated_tau_50,5,-0.13560000000000008,-0.14450000000000007,-0.2435000000000001,-0.037600000000000036,-1.0255437562004208,-0.8666666666666667,0.08356339827668446,0.125,0.375,1,4,0,0.2,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_1,count_gated_tau_10,5,0.04,0.05,0.01,0.06999999999999999,0.9561828874675149,1.0,0.09930068321372679,0.25,0.25,3,0,2,1.0,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_1,count_gated_tau_100,5,0.030000000000000006,0.05,-0.019999999999999997,0.06999999999999999,0.5262348115842176,0.7,0.3045587846805349,0.375,0.625,3,1,1,0.75,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_1,count_gated_tau_20,5,0.019999999999999997,0.0,0.0,0.06,0.4472135954999579,1.0,0.37390096630005887,1.0,1.0,1,0,4,1.0,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_1,count_gated_tau_5,5,0.030000000000000006,0.0,0.0,0.06999999999999999,0.6708203932499369,1.0,0.20799999999999988,0.5,0.5,2,0,3,1.0,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_1,count_gated_tau_50,5,0.030000000000000006,0.0,-0.02,0.09000000000000001,0.39562828403747224,0.5,0.4263172079403686,0.75,1.0,2,1,2,0.6666666666666666,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_10,count_gated_tau_100,5,-0.01,0.0,-0.030000000000000006,0.0,-0.4472135954999579,-1.0,0.37390096630005887,1.0,1.0,0,1,4,0.0,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_10,count_gated_tau_20,5,-0.020000000000000004,0.0,-0.04000000000000001,0.0,-0.7302967433402215,-1.0,0.17780780835622137,0.5,0.5,0,2,3,0.0,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_10,count_gated_tau_5,5,-0.01,0.0,-0.06,0.029999999999999992,-0.18257418583505539,-0.3333333333333333,0.7040000000000001,1.0,1.0,1,1,3,0.5,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_10,count_gated_tau_50,5,-0.01,0.0,-0.06,0.04999999999999999,-0.13483997249264842,-0.16666666666666666,0.7780495489000209,1.0,1.0,1,2,2,0.3333333333333333,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_100,count_gated_tau_20,5,-0.010000000000000004,0.0,-0.04000000000000001,0.02,-0.23904572186687878,-0.5,0.6213082950374971,0.75,1.0,1,2,2,0.3333333333333333,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_100,count_gated_tau_5,5,0.0,0.0,-0.05,0.04,0.0,0.0,1.0,1.0,1.0,2,1,2,0.6666666666666666,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_100,count_gated_tau_50,5,0.0,0.0,-0.06,0.06,0.0,0.0,1.0,1.0,1.0,2,2,1,0.5,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_20,count_gated_tau_5,5,0.010000000000000004,0.0,-0.04999999999999999,0.06000000000000001,0.13483997249264848,0.3333333333333333,0.7780495489000208,0.75,1.0,2,1,2,0.6666666666666666,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_20,count_gated_tau_50,5,0.010000000000000005,0.0,-0.06,0.09,0.10397504898200732,0.1,0.8275647196020317,1.0,1.0,2,2,1,0.5,1.0,1.0,1.0
FourRooms-7-unseen-goals,success_rate,count_gated_tau_5,count_gated_tau_50,5,0.0,0.0,-0.030000000000000006,0.030000000000000006,0.0,0.0,1.0,1.0,1.0,1,1,3,0.5,1.0,1.0,1.0
