environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,seconds_per_1000_steps,return_auc
FourRooms-9-slip-unseen-goals,count_gated_tau_10,0,12000,-2.7185,0.05,155.25,21.092201100022063,12000,735,13.445093100017402,7.647108000004664,0.3924385463284274,0.0,1.0,1.0,1355.0,1.1204244250014501,-2.4703500000000007
FourRooms-9-slip-unseen-goals,count_gated_tau_10,1,12000,-2.1505000000000005,0.1,144.8,20.801681599987205,12000,735,13.738624600111509,7.063056999875698,0.3747172916996247,0.0,1.0,1.0,1432.0,1.1448853833426258,-2.198350000000001
FourRooms-9-slip-unseen-goals,count_gated_tau_10,2,12000,-2.2895000000000003,0.15,138.15,20.79853000002913,12000,735,13.738392900151666,7.0601370998774655,0.3775778935115368,0.0,1.0,1.0,1339.0,1.144866075012639,-2.4553500000000006
FourRooms-9-slip-unseen-goals,count_gated_tau_10,3,12000,-1.6120000000000005,0.3,117.25,20.343481499992777,12000,735,13.720067599962931,6.6234139000298455,0.3955042357729879,0.0,1.0,1.0,1230.0,1.1433389666635776,-2.0790000000000006
FourRooms-9-slip-unseen-goals,count_gated_tau_10,4,12000,-2.169,0.1,146.15,21.178832400008105,12000,735,13.824020700005349,7.354811700002756,0.3708810078245049,0.0,1.0,1.0,1441.0,1.1520017250004457,-2.5412500000000007
FourRooms-9-slip-unseen-goals,count_gated_tau_100,0,12000,-2.355000000000001,0.15,147.65,21.57954399997834,12000,735,14.02818920003483,7.55135479994351,0.1373977115743224,0.0,1.0,1.0,1250.0,1.1690157666695693,-2.3705000000000003
FourRooms-9-slip-unseen-goals,count_gated_tau_100,1,12000,-2.0319999999999996,0.2,134.9,20.783208999957424,12000,735,13.90032179991249,6.882887200044934,0.1364536249629477,0.0,1.0,1.0,1286.0,1.1583601499927074,-2.1382000000000008
FourRooms-9-slip-unseen-goals,count_gated_tau_100,2,12000,-2.1189999999999998,0.1,150.75,21.41919879999477,12000,735,14.066849900002126,7.352348899992648,0.1280943504757866,0.0,1.0,1.0,1228.0,1.1722374916668439,-2.4438000000000004
FourRooms-9-slip-unseen-goals,count_gated_tau_100,3,12000,-1.6690000000000005,0.3,125.0,20.86146480002208,12000,735,14.075483900029212,6.785980899992865,0.1298211923242271,0.0,1.0,1.0,1056.0,1.172956991669101,-2.1529000000000003
FourRooms-9-slip-unseen-goals,count_gated_tau_100,4,12000,-2.251500000000001,0.15,136.7,20.90642569999909,12000,735,14.103079000022262,6.803346699976828,0.1312898451448496,0.0,1.0,1.0,1189.0,1.1752565833351885,-2.1006000000000005
FourRooms-9-slip-unseen-goals,count_gated_tau_20,0,12000,-2.694,0.1,156.9,21.24259430001257,12000,735,13.68024580006022,7.56234849995235,0.292221923306137,0.0,1.0,1.0,1299.0,1.1400204833383516,-2.3790000000000004
FourRooms-9-slip-unseen-goals,count_gated_tau_20,1,12000,-1.864,0.15,143.0,21.033143399981785,12000,735,14.176768200064544,6.856375199917238,0.2674404544646375,0.0,1.0,1.0,1396.0,1.1813973500053787,-2.005900000000001
FourRooms-9-slip-unseen-goals,count_gated_tau_20,2,12000,-2.1439999999999992,0.15,149.3,21.134972499974538,12000,735,13.838273899978958,7.29669859999558,0.2824673549042011,0.0,1.0,1.0,1301.0,1.1531894916649132,-2.52215
FourRooms-9-slip-unseen-goals,count_gated_tau_20,3,12000,-1.1854999999999998,0.35,108.55,20.34017159999348,12000,735,13.627215300046371,6.712956299947109,0.2934527655657885,0.0,1.0,1.0,1124.0,1.1356012750038642,-2.080250000000001
FourRooms-9-slip-unseen-goals,count_gated_tau_20,4,12000,-2.0065,0.25,128.65,20.841393000038806,12000,735,13.980972400051542,6.860420599987265,0.2958940772443227,0.0,1.0,1.0,1315.0,1.1650810333376285,-2.2440000000000007
FourRooms-9-slip-unseen-goals,count_gated_tau_5,0,12000,-2.1650000000000005,0.05,152.15,21.00307310000062,12000,735,13.654719100042712,7.348353999957908,0.4895491932807714,0.0,1.0,1.0,1505.0,1.1378932583368926,-2.5175500000000004
FourRooms-9-slip-unseen-goals,count_gated_tau_5,1,12000,-1.9685000000000001,0.15,142.45,20.62088520004181,12000,735,13.736411400081124,6.884473799960688,0.4867843121733645,0.0,1.0,1.0,1496.0,1.1447009500067604,-2.1552000000000002
FourRooms-9-slip-unseen-goals,count_gated_tau_5,2,12000,-2.1154999999999995,0.25,140.5,20.727477799984623,12000,735,13.6832424000022,7.044235399982426,0.4972525964817568,0.0,1.0,1.0,1374.0,1.1402702000001834,-2.5091000000000006
FourRooms-9-slip-unseen-goals,count_gated_tau_5,3,12000,-1.8500000000000008,0.3,116.05,20.377587100025263,12000,735,13.834625599905849,6.542961500119418,0.4729875862099855,0.0,1.0,1.0,1410.0,1.1528854666588206,-2.0356
FourRooms-9-slip-unseen-goals,count_gated_tau_5,4,12000,-1.9580000000000002,0.2,137.25,20.955943000037223,12000,735,13.792939400067551,7.16300359996967,0.4895926319869736,0.0,1.0,1.0,1395.0,1.1494116166722959,-2.28345
FourRooms-9-slip-unseen-goals,count_gated_tau_50,0,12000,-2.508000000000001,0.15,141.3,20.97493010002654,12000,735,13.768350799975453,7.206579300051089,0.2055513569631948,0.0,1.0,1.0,1232.0,1.147362566664621,-2.3100000000000005
FourRooms-9-slip-unseen-goals,count_gated_tau_50,1,12000,-2.214000000000001,0.15,139.45,20.63303779996932,12000,735,13.68655739998212,6.946480399987195,0.1801151493712166,0.0,1.0,1.0,1329.0,1.14054644999851,-2.223900000000001
FourRooms-9-slip-unseen-goals,count_gated_tau_50,2,12000,-1.9019999999999997,0.25,139.65,21.0145500000217,12000,735,13.972702500002924,7.041847500018776,0.1906400073986403,0.0,1.0,1.0,1168.0,1.1643918750002438,-2.3385000000000002
FourRooms-9-slip-unseen-goals,count_gated_tau_50,3,12000,-1.8095000000000006,0.3,125.35,20.755561999976635,12000,735,13.86794459988596,6.887617400090676,0.1873775277249756,0.0,1.0,1.0,1139.0,1.1556620499904966,-2.1793000000000005
FourRooms-9-slip-unseen-goals,count_gated_tau_50,4,12000,-2.0395,0.2,131.9,21.081652899971232,12000,735,14.06439740001224,7.017255499958992,0.1883855580779308,0.0,1.0,1.0,1266.0,1.1720331166676867,-2.2458000000000005
FrozenLake-v1,count_gated_tau_1,0,10000,0.45,0.45,48.1,12.800238800002262,10000,610,11.155621799931396,1.6446170000708662,0.997633418758494,0.0,1.0,1.0,11.0,1.1155621799931397,0.46875
FrozenLake-v1,count_gated_tau_1,1,10000,0.85,0.85,41.1,12.655063199985308,10000,610,11.499048900033811,1.1560142999514935,0.9974735638399332,0.0,1.0,1.0,11.0,1.149904890003381,0.36875
FrozenLake-v1,count_gated_tau_1,2,10000,0.6,0.6,36.1,12.68309149995912,10000,610,11.272460399952251,1.4106311000068672,0.997324861284304,0.0,1.0,1.0,11.0,1.127246039995225,0.45
FrozenLake-v1,count_gated_tau_1,3,10000,0.9,0.9,33.5,12.612324099987744,10000,610,11.3109302999801,1.301393800007645,0.9973912640076618,0.0,1.0,1.0,11.0,1.13109302999801,0.5375
FrozenLake-v1,count_gated_tau_1,4,10000,0.65,0.65,52.35,13.253215700038709,10000,610,11.48011400003452,1.7731017000041902,0.9974456576558036,0.0,1.0,1.0,11.0,1.148011400003452,0.43125
FrozenLake-v1,count_gated_tau_10,0,10000,0.45,0.45,50.2,12.81084719998762,10000,610,11.27861189993564,1.5322353000519795,0.9775196419176132,0.0,1.0,1.0,11.0,1.127861189993564,0.44375
FrozenLake-v1,count_gated_tau_10,1,10000,0.5,0.5,44.3,12.921467899985146,10000,610,11.443738999951163,1.4777289000339806,0.9766029350751873,0.0,1.0,1.0,11.0,1.1443738999951163,0.525
FrozenLake-v1,count_gated_tau_10,2,10000,0.5,0.5,42.15,12.97465170000214,10000,610,11.321587900049051,1.6530637999530882,0.976448492816605,0.0,1.0,1.0,11.0,1.132158790004905,0.35625
FrozenLake-v1,count_gated_tau_10,3,10000,0.75,0.75,33.4,12.82507209997857,10000,610,11.394068399968091,1.4310037000104785,0.9771412678684944,0.0,1.0,1.0,11.0,1.1394068399968091,0.51875
FrozenLake-v1,count_gated_tau_10,4,10000,0.65,0.65,46.05,12.84272489999421,10000,610,11.361016000038944,1.4817088999552652,0.9769363409701396,0.0,1.0,1.0,11.0,1.1361016000038944,0.50625
FrozenLake-v1,count_gated_tau_100,0,10000,0.4,0.4,34.35,12.94562070001848,10000,610,11.275398000027051,1.6702226999914274,0.8532058687315793,0.0,1.0,1.0,11.0,1.127539800002705,0.59375
FrozenLake-v1,count_gated_tau_100,1,10000,0.65,0.65,49.75,13.126761800027452,10000,610,11.049822200031484,2.076939599995967,0.8409526675876948,0.0,1.0,1.0,11.0,1.1049822200031483,0.3375
