algorithm,environment,training_seed,condition,mean_return,median_return,cvar10_return,decision_weighted_support_coverage,episode_mean_support_coverage,exact_recurrence_rate_episode_mean,unhealthy_termination_rate,truncation_rate,mean_critic_gap,mean_tqc_quantile_iqr,final_eval_episodes,final_eval_decisions
TQC,HalfCheetah-v5,22001,NOMINAL,4397.610324097299,4423.27976609211,4211.439364674093,0.9989,0.9989,0.0,,1.0,0.9641940816243489,5.7316799723307295,30,30000
TQC,HalfCheetah-v5,22001,OBS_DELAY_1,805.3754809121899,815.2733909156004,529.319487191689,0.8989666666666667,0.8989666666666668,0.0,,1.0,2.143878838857015,7.4500831044514975,30,30000
TQC,HalfCheetah-v5,22002,ACT_GAIN_075,1130.6746515993989,1225.4057872452559,260.7168572078157,0.9997,0.9997000000000001,0.0,,1.0,0.410622319539388,2.1237166595458987,30,30000
TQC,HalfCheetah-v5,22002,COMBINED_DELAY_GAIN,291.4249716263632,285.99136214932685,228.92932554887784,0.9991333333333333,0.9991333333333333,0.0,,1.0,0.5661068725585938,2.1205320968627928,30,30000
TQC,HalfCheetah-v5,22002,NOMINAL,1476.231165635069,1472.9602448922376,1402.607424850671,0.9967333333333334,0.9967333333333331,0.0,,1.0,0.5003567581176758,2.277566385904948,30,30000
TQC,HalfCheetah-v5,22002,OBS_DELAY_1,275.1273771702367,271.41652191176104,201.0305675701743,0.9831666666666666,0.9831666666666666,0.0,,1.0,0.8504891891479492,2.398619247436523,30,30000
TQC,HalfCheetah-v5,22003,ACT_GAIN_075,2969.599582097261,2981.2070569360053,2825.734385178528,0.9985,0.9985,0.0,,1.0,1.023704630533854,4.486308848063151,30,30000
TQC,HalfCheetah-v5,22003,COMBINED_DELAY_GAIN,1245.3964659012877,1263.0994118708845,1010.48120627465,0.9935333333333334,0.9935333333333332,0.0,,1.0,1.5057365582784015,4.948013425191244,30,30000
TQC,HalfCheetah-v5,22003,NOMINAL,4078.48514439687,4085.343330538467,3890.1227076956634,0.9984,0.9984,0.0,,1.0,0.9177713464101155,4.869184364954631,30,30000
TQC,HalfCheetah-v5,22003,OBS_DELAY_1,410.2558341213187,386.9697900515504,259.15742545828425,0.8844666666666666,0.8844666666666665,0.0,,1.0,1.2319221502939859,3.3572446136474605,30,30000
TQC,HalfCheetah-v5,22004,ACT_GAIN_075,2757.635484074259,2758.1027611979816,2684.2812280024964,1.0,1.0,0.0,,1.0,0.8972345682779947,5.380900166829426,30,30000
TQC,HalfCheetah-v5,22004,COMBINED_DELAY_GAIN,845.719602430881,838.0580272646225,692.6700162792091,0.9973333333333333,0.9973333333333334,0.0,,1.0,2.076739522298177,7.363502329508464,30,30000
TQC,HalfCheetah-v5,22004,NOMINAL,4562.424165122724,4564.380730454433,4410.630959381756,0.9985,0.9985,0.0,,1.0,1.0314310506184896,5.709546478271483,30,30000
TQC,HalfCheetah-v5,22004,OBS_DELAY_1,742.1237834778113,918.222450585344,33.89207120491778,0.8332,0.8332,0.0,,1.0,2.2306402994791665,7.043600805918375,30,30000
TQC,Walker2d-v5,22000,ACT_GAIN_075,527.1327387469461,525.249230201312,508.60469301403555,0.9942328122628623,0.9942233313050355,0.0,1.0,0.0,1.175776554050207,5.616609031418258,30,6589
