report_family,evidence_class,primary_confirmatory,environment_or_severity,contrast_name,left,right,metric,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,wins,losses,ties,raw_paired_t_p,report_holm_paired_t_p,global_holm_paired_t_p,raw_wilcoxon_p,report_holm_wilcoxon_p,global_holm_wilcoxon_p,source_file,source_row
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-7-unseen-goals,support_abstain_vs_count,support_abstain_tau_20,count_gated_tau_20,return_auc,30,1.16434595959596,1.1568787878787885,1.115944330808081,1.215432436868687,8.186166756984678,1.0,30,0,0,2.437208038989397e-28,5.849299293574554e-27,1.7791618684622596e-26,1.862645149230957e-09,5.21540641784668e-08,1.471489667892456e-07,results/confirmatory_extended_compact/planned_contrasts.csv,25
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-9-slip-unseen-goals,count_vs_fixed,count_gated_tau_20,fixed_hybrid,return_auc,30,0.0044312865497075,0.0022850877192979,-0.0538989912280702,0.0588321271929824,0.0275630718623416,0.0924731182795698,15,15,0,0.8810453000348358,1.0,1.0,0.6701805889606476,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,19
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-9-slip-unseen-goals,count_vs_tabular,count_gated_tau_20,tabular,return_auc,30,-1.231175438596491,-1.239473684210526,-1.2923821564327482,-1.1685988888888887,-6.935411393277501,-1.0,0,30,0,2.761557297954657e-26,6.351581785295711e-25,1.93309010856826e-24,1.862645149230957e-09,5.21540641784668e-08,1.471489667892456e-07,results/confirmatory_extended_compact/planned_contrasts.csv,12
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-9-slip-unseen-goals,count_vs_validated_dqn,count_gated_tau_20,validated_dqn,return_auc,30,0.037901461988304,0.0472149122807021,-0.0172280774853801,0.0907453216374268,0.2479223077837013,0.3290322580645161,18,12,0,0.1849593956996742,1.0,1.0,0.1190765686333179,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,5
confirmatory_extended_compact.planned,confirmatory,True,FourRooms-9-slip-unseen-goals,support_abstain_vs_count,support_abstain_tau_20,count_gated_tau_20,return_auc,30,1.2425187134502922,1.1918289473684212,1.1912265716374266,1.2934425584795322,8.420336563277456,1.0,30,0,0,1.087502926935595e-28,2.7187573173389875e-27,8.047521659323404e-27,1.862645149230957e-09,5.21540641784668e-08,1.471489667892456e-07,results/confirmatory_extended_compact/planned_contrasts.csv,26
confirmatory_extended_compact.planned,confirmatory,True,FrozenLake-4x4-slippery,count_vs_fixed,count_gated_tau_20,fixed_hybrid,return_auc,30,0.0468518518518518,0.0805555555555556,-0.0001851851851852,0.0938888888888888,0.3496416277074219,0.3870967741935484,19,11,0,0.0653938908688735,0.860675699923032,1.0,0.064112701562197,0.769352418746365,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,20
confirmatory_extended_compact.planned,confirmatory,True,FrozenLake-4x4-slippery,count_vs_tabular,count_gated_tau_20,tabular,return_auc,30,0.0307407407407407,0.0583333333333332,-0.0183379629629629,0.0772268518518518,0.2256028265700575,0.3241379310344827,19,10,1,0.2264949827773515,1.0,1.0,0.1273443049732007,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,13
confirmatory_extended_compact.planned,confirmatory,True,FrozenLake-4x4-slippery,count_vs_validated_dqn,count_gated_tau_20,validated_dqn,return_auc,30,0.3164814814814815,0.3333333333333333,0.2675879629629629,0.3653703703703704,2.2725333565226937,1.0,30,0,0,3.705967173896012e-13,7.782531065181626e-12,2.4088786630324078e-11,1.7311263949197286e-06,3.289140150347484e-05,0.00010386758369518371,results/confirmatory_extended_compact/planned_contrasts.csv,6
confirmatory_extended_compact.planned,confirmatory,True,FrozenLake-4x4-slippery,support_abstain_vs_count,support_abstain_tau_20,count_gated_tau_20,return_auc,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30,1.0,1.0,1.0,1.0,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,27
confirmatory_extended_compact.planned,confirmatory,True,FrozenLake-8x8-slippery,count_vs_fixed,count_gated_tau_20,fixed_hybrid,return_auc,30,0.0057142857142857,0.0,-0.0071448412698412,0.0174603174603174,0.1618942659334176,0.3438735177865613,13,9,8,0.3825183673574046,1.0,1.0,0.1578198894923748,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,21
