environment,agent,seed,phase,checkpoint,episode,trace_steps,initial_trajectory_error,trajectory_error_mean,trajectory_error_min,trajectory_error_max,trajectory_error_final,recovery_event_count,recovery_event_occurred,constraint_steps,constraint_duration_seconds,saturation_steps,saturation_duration_seconds,target_visibility_fraction,target_visible_any,target_visible_all,episode_success,failure_stage,source_file
combined_executed_condition,feed_forward_dqn,16006,eval,240,3,30,0.8445628599308164,0.8455236852169037,0.8442835807800293,0.8505954742431641,0.8505954742431641,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16006,eval,240,4,30,0.8300815316978046,0.8392890771230062,0.8301035165786743,0.8622540831565857,0.8622540831565857,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16007,eval,120,1,30,0.8136683308061962,0.8015689690907796,0.7764455080032349,0.8136734366416931,0.7764455080032349,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16007,eval,120,2,30,0.8493564137312632,0.8365993161996206,0.8085451126098633,0.8493208289146423,0.8085451126098633,0,0,0,0.0,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16007,eval,120,3,30,0.7997068621921593,0.7885192334651947,0.7671277523040771,0.799699068069458,0.7671277523040771,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16007,eval,120,4,30,0.8931141208690654,0.8967184722423553,0.8931359052658081,0.9068928360939026,0.9068928360939026,0,0,30,0.5,0,0.0,0.9,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16007,eval,240,1,30,0.836744149238957,0.8373069147268931,0.8360655903816223,0.83790522813797,0.8360655903816223,0,0,30,0.5,0,0.0,0.5333333333333333,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16007,eval,240,2,30,0.8543747863921048,0.8469575782616933,0.8318448066711426,0.8543209433555603,0.8318448066711426,0,0,30,0.5,0,0.0,0.4,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16007,eval,240,3,30,0.834719889700177,0.8432315329710642,0.8332130312919617,0.8754558563232422,0.8754558563232422,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16007,eval,240,4,30,0.8185722142353562,0.8178418616453806,0.8082741498947144,0.8203030228614807,0.8082741498947144,0,0,13,0.21666666666666667,0,0.0,0.9666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
